,Title,Area,Location,Bookmarks,Positive Review,Negative Review,Review Count,PriceRange,Genre
0,Nan Ei Sui San 南瀛水產,Tsim Sha Tsui,"5/F, Tern Plaza, 3A-3C Cameron Road, Tsim Sha Tsui",40498,,,,$201-400,"['Japanese', 'Seafood']"
1,Tian Jian IZAKAYA 天澗居酒屋,Yuen Long,"G/F, 79&81 Kau Yuk Road, Yuen Long",2897,,,,$201-400,"['Japanese', 'Izakaya']"
2,Wagyu Yakiniku Ichiro (All Branches) 和牛燒肉一郎 (寶漢大廈),,3 branches,,,,,$201-400,"['Japanese', 'BBQ']"
3,Poach 蟲二,Mong Kok,"Rooftop, 618 Shanghai Street, Mong Kok",40615,535,43,(738 Reviews),$101-200,"['Japanese', 'Cake']"
4,Tea Brush 茶墨,Tsim Sha Tsui,"Shop L411, 4/F, The ONE, 100 Nathan Road, Tsim Sha Tsui",9200,792,25,(1041 Reviews),Below $50,"['Japanese', 'Tea House']"
5,Yuki House Ramen 幸屋,Wan Chai,"G/F, Wai Cheong Building, 5-9A Gresson Street, Wan Chai",16907,639,18,(718 Reviews),$51-100,"['Japanese', 'Ramen']"
6,Tsukiji Japanese Restaurant (Island Beverley) 築地日本料理 (金百利廣場),Causeway Bay,"Room R1, 7/F, Island Beverley, 1 Great George Street, Causeway Bay",20505,826,19,(933 Reviews),$101-200,"['Japanese', 'Sushi/Sashimi']"
7,Isono Suisan 磯野水產,Causeway Bay,"19/F, Macau Yat Yuen Centre, 525 Hennessy Road, Causeway Bay",28214,855,10,(895 Reviews),$201-400,"['Japanese', 'Seafood']"
8,J-City 丼瀛,Kwun Tong,"Shop B, 1/F, COS Centre, 56 Tsun Yip Street, Kwun Tong",18124,516,9,(569 Reviews),$101-200,"['Japanese', 'Sushi/Sashimi']"
9,Fukuoka Hambageu 福岡漢堡扒,Tsim Sha Tsui,"Shop A, G/F, 11 Hau Fook Street, Tsim Sha Tsui",15800,499,10,(584 Reviews),$101-200,"['Japanese', 'Korean BBQ']"
10,Lucky Ristorante,Mong Kok,"Shop 301B, 3/F, 618 Shanghai Street, Mong Kok",13625,401,6,(456 Reviews),$101-200,"['Japanese', 'Pizza']"
11,Pancake House HoiHoi (Megabox),Kowloon Bay,"Shop 19-20, 1/F, Enterprise Square Five, Megabox, 38 Wang Chiu Road, Kowloon Bay",9456,407,17,(525 Reviews),$101-200,"['Japanese', 'Dessert']"
12,Asa 朝,Prince Edward,"G/F, 39 Tai Nan Street, Prince Edward",11284,349,15,(386 Reviews),$201-400,"['Japanese', 'Sushi/Sashimi']"
13,野川拉麵の深燒食堂,Yuen Long,"Shop B, G/F,Wing Fung Building, 40-48 Yau San Street, Yuen Long",9043,500,14,(570 Reviews),$51-100,"['Japanese', 'Ramen']"
14,Hungry Monkey (金朝陽中心二期),Causeway Bay,"Shop B, G/F, Midtown Soundwill Plaza II, 1 Tang Lung Street, Causeway Bay",18228,358,13,(400 Reviews),$201-400,"['Japanese', 'Teppanyaki']"
15,GAIJIN,Causeway Bay,"9/F, Circle Tower, 28 Tang Lung Street, Causeway Bay",15720,282,3,(304 Reviews),$201-400,"['Japanese', 'Steak House']"
16,Naruto Japanese Restaurant 鳴門割烹料理,Kowloon Bay,"shop 2, 2/F, Exchange Tower, 33 Wang Chiu Road,, Kowloon Bay",9235,366,18,(438 Reviews),$201-400,"['Japanese', 'Sushi/Sashimi']"
17,友拉麵,Tsuen Wan,"Shop 53-54, 1/F, Cheong Ning Building, 202-216 Sai Lau Kok Road, Tsuen Wan",4065,261,3,(291 Reviews),$51-100,"['Japanese', 'Ramen']"
18,Tian Jian IZAKAYA 天澗居酒屋,Yuen Long,"G/F, 79&81 Kau Yuk Road, Yuen Long",2897,,,,$201-400,"['Japanese', 'Izakaya']"
19,N.28 Teppanyaki,Tsim Sha Tsui,"G/F, Kam Wing Commercial Building, 28 Minden Ave, Tsim Sha Tsui",1266,,,,$401-800,"['Japanese', 'Teppanyaki']"
20,Ryou Dou Raku 漁道樂,Tsim Sha Tsui,"Shop A, G/F, Kimberley House, 35 Kimberley Road, Tsim Sha Tsui",20437,,,,$401-800,"['Japanese', 'Seafood']"
21,上戶酒場,Kowloon City,"Shop A, G/F, Lung Cheung Court, 33-39 Lung Kong Road, Kowloon City",7789,281,2,(298 Reviews),$201-400,"['Japanese', 'Izakaya']"
22,Taisyou 大將,Tseung Kwan O,"Shop F10, 1/F, PopCorn, 9 Tong Yin Street, Tseung Kwan O",16107,435,16,(521 Reviews),$201-400,"['Japanese', 'Hot Pot']"
23,Yume no don 夢の丼,To Kwa Wan,"G/F, Hang Shing Building, 2-10 Tam Kung Road, To Kwa Wan",5650,258,1,(289 Reviews),$201-400,"['Japanese', 'Sushi/Sashimi']"
24,YAKINIKU KAKURA (黃埔天地聚寶坊),Hung Hom,"Shop G1&G3, G/F, Treasure World (Site 11), The Whampoa, Hung Hom",11772,228,3,(252 Reviews),$201-400,"['Japanese', 'Roast Meat']"
25,Boon,Kwun Tong,"Shop G, 14/F, Yip Win Factory Building, 10 Tsun Yip Lane, Kwun Tong",14979,192,12,(250 Reviews),$101-200,"['Japanese', 'Upper-floor Cafe']"
26,Cocolo Tokyo Cake Factory (利東街),Wan Chai,"Shop B36, B1/F, Lee Tung Avenue, 200 Queen's Road East, Wan Chai",3796,214,0,(230 Reviews),$51-100,"['Japanese', 'Ice Cream/yogurt']"
27,天浮橋拉麵,元朗,元朗西菁街20號益輝大廈地下12號舖,4559,165,1,(182 Reviews),$51-100,"['Japanese', 'Ramen']"
28,Manya Japanese Restaurant (Chung On Street) 滿屋日本料理 (眾安街),Tsuen Wan,"10/F, Tai Hung Fai (Tsuen Wan) Centre, 55 Chung On Street, Tsuen Wan",35368,680,85,(885 Reviews),$201-400,"['Japanese', 'All-you-can-eat']"
29,FUMI,Central,"6/F, California Tower, 30-32 D'Aguilar Street, Central",40139,257,13,(314 Reviews),$401-800,"['Japanese', 'Sushi/Sashimi']"
30,Gochi,Lok Fu,"Shop L104A&B, L211-214, UG/F & 1/F, Lok Fu Plaza , 198 Junction Road, Lok Fu",9527,153,8,(203 Reviews),$101-200,"['Japanese', 'Wine']"
31,Trinity (Li Yuen West Street) 三一餃子 (利源西街),Central,"G/F, 7 Li Yuen West Street, Central",21907,195,8,(270 Reviews),$51-100,"['Japanese', 'Wonton/Dumpling']"
32,Gyuugoku Stone Grill Steak （Queen's Road East） 牛極 (皇后大道東）,Wan Chai,"G/F, 238-240 Queen's Road East, Wan Chai",5308,118,0,(133 Reviews),$51-100,"['Japanese', 'Teppanyaki']"
